area_id,area_name,latitude,longitude,parameter_id,parameter_description,datetime,value_type,value_text
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406271200,,95
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406271800,,90
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406280000,,80
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406280600,,60
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406281200,,85
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406281800,,90
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406290000,,80
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406290600,,65
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406291200,,75
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406291800,,90
501273,Banyuwangi,-8.216666667,114.35,humax,Max humidity,202406271200,,95
501273,Banyuwangi,-8.216666667,114.35,humax,Max humidity,202406281200,,90
501273,Banyuwangi,-8.216666667,114.35,humax,Max humidity,202406291200,,90
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406271200,,30
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406271200,,86
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406281200,,32
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406281200,,89.6
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406291200,,32
501273,Banyuwangi,-8.216666667,114.35,tmax,Max temperature,202406291200,,89.6
501273,Banyuwangi,-8.216666667,114.35,humin,Min humidity,202406271200,,70
501273,Banyuwangi,-8.216666667,114.35,humin,Min humidity,202406281200,,60
501273,Banyuwangi,-8.216666667,114.35,humin,Min humidity,202406291200,,65
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406271200,,24
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406271200,,75.2
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406281200,,24
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406281200,,75.2
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406291200,,24
501273,Banyuwangi,-8.216666667,114.35,tmin,Min temperature,202406291200,,75.2
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406270000,,26
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406270000,,78.8
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406270600,,29
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406270600,,84.2
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406271200,,26
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406271200,,78.8
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406271800,,24
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406271800,,75.2
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406280000,,26
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406280000,,78.8
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406280600,,32
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406280600,,89.6
501273,Banyuwangi,-8.216666667,114.35,t,Temperature,202406281200,,26
